i,H,r,Lz,γu,γd,M,energy,error_r,error_a
2,5.0,1.0,15.0,1.0,1.0,7,0.2665047518557578,46.7626630062619,0.26092498022910415
3,5.0,1.0,15.0,1.0,1.0,7,194.3178137657333,0.0018620249300874663,0.3611521393049486
4,5.0,1.0,15.0,1.0,1.0,7,0.2575642541269175,34.84008673165131,0.26517547144350945
5,5.0,1.0,15.0,1.0,1.0,7,0.7060444585975288,1.033271983633772,0.35879900187524716
6,5.0,1.0,15.0,1.0,1.0,7,0.20090985238084016,11.058565064736108,0.22088385971566382
7,5.0,1.0,15.0,1.0,1.0,7,0.31260936481921103,5.91617539831272,0.26740961975556277
8,5.0,1.0,15.0,1.0,1.0,7,0.19886811138010188,22.922342057311788,0.20793959246821733
9,5.0,1.0,15.0,1.0,1.0,7,0.49241933650267755,2.6254123746588953,0.3565949707161488
10,5.0,1.0,15.0,1.0,1.0,7,0.2949900910817788,64.74339234355378,0.29961786629480625
1,5.0,2.0,25.0,1.0,1.0,7,0.042679125132533434,28.596223396639267,0.04123707880923869
2,5.0,2.0,25.0,1.0,1.0,7,0.0362814979215694,5.502326680944965,0.0307017262949158
3,5.0,2.0,25.0,1.0,1.0,7,194.04857602333928,0.00047389141543366766,0.09191439691093706
4,5.0,2.0,25.0,1.0,1.0,7,0.05285092752036488,7.943820590321794,0.06046214483695682
5,5.0,2.0,25.0,1.0,1.0,7,0.4233254588913809,0.2190957453762919,0.07608000216909921
6,5.0,2.0,25.0,1.0,1.0,7,0.02082385696568659,2.042547778050589,0.04079786430051026
7,5.0,2.0,25.0,1.0,1.0,7,0.03554584525648482,0.2135830587887004,0.009653899807163462
8,5.0,2.0,25.0,1.0,1.0,7,-0.0031305096173290777,0.654906449462772,0.005940971470786374
9,5.0,2.0,25.0,1.0,1.0,7,0.2179367788441143,0.6045484739213824,0.08211241305758557
10,5.0,2.0,25.0,1.0,1.0,7,0.08440036509168837,19.237784076913982,0.08902814030471577
1,5.0,3.0,35.0,1.0,1.0,7,0.034449300067699994,22.889177144456326,0.03300725374440525
2,5.0,3.0,35.0,1.0,1.0,7,0.03117756957695766,4.587606745055267,0.02559779795030406
3,5.0,3.0,35.0,1.0,1.0,7,194.04349650485824,0.00044770248003724825,0.08683487842989734
4,5.0,3.0,35.0,1.0,1.0,7,0.04621852106488394,7.072421682682835,0.053829738381475874
5,5.0,3.0,35.0,1.0,1.0,7,0.4152986732779045,0.1959801495978969,0.0680532165556228
6,5.0,3.0,35.0,1.0,1.0,7,0.021403144858117982,2.0715498647486066,0.04137715219294165
7,5.0,3.0,35.0,1.0,1.0,7,0.031137322511844298,0.3111172979405504,0.014062422551803982
8,5.0,3.0,35.0,1.0,1.0,7,-0.005407171393730131,0.40393731285908024,0.003664309694385321
9,5.0,3.0,35.0,1.0,1.0,7,0.21092686630218316,0.5529383485853405,0.07510250051565442
10,5.0,3.0,35.0,1.0,1.0,7,0.0800344769199367,18.294374345287114,0.0846622521329641
1,5.0,4.0,45.0,1.0,1.0,7,0.0019281510166728384,0.3370936741251568,0.0004861046933780978
2,5.0,4.0,45.0,1.0,1.0,7,0.006218120163192372,0.1144040615371228,0.0006383485365387704
3,5.0,4.0,45.0,1.0,1.0,7,193.95759102167588,4.791767602852159e-6,0.0009293952475388778
4,5.0,4.0,45.0,1.0,1.0,7,-0.007285315961870631,0.04281855860439859,0.00032590135472130525
5,5.0,4.0,45.0,1.0,1.0,7,0.34843126251056206,0.003414892161508531,0.0011858057882803696
6,5.0,4.0,45.0,1.0,1.0,7,-0.01976854502144972,0.01028648432584375,0.0002054623133739518
7,5.0,4.0,45.0,1.0,1.0,7,0.045971430731042665,0.017072788050192106,0.0007716856673943839
8,5.0,4.0,45.0,1.0,1.0,7,-0.008775534862461474,0.032623804512109646,0.0002959462256539782
9,5.0,4.0,45.0,1.0,1.0,7,0.1367088464098586,0.0065119437017653065,0.000884480623329853
10,5.0,4.0,45.0,1.0,1.0,7,-0.004266899234311792,0.07798044678136633,0.0003608759787156095
1,5.0,5.0,55.0,1.0,1.0,7,0.0014429022134399808,0.0005935247234531872,8.558901452401964e-7
2,5.0,5.0,55.0,1.0,1.0,7,0.005580837130956503,0.00019095840729617077,1.0655043029021358e-6
3,5.0,5.0,55.0,1.0,1.0,7,193.95666307037044,7.444663588500037e-9,1.4439420965572936e-6
4,5.0,5.0,55.0,1.0,1.0,7,-0.007610632100236531,7.688866722148066e-5,5.852163554058085e-7
5,5.0,5.0,55.0,1.0,1.0,7,0.3472474680066262,5.7921113309912575e-6,2.011284344516362e-6
6,5.0,5.0,55.0,1.0,1.0,7,-0.019973674129381537,1.6681952527012183e-5,3.332054421337216e-7
7,5.0,5.0,55.0,1.0,1.0,7,0.04520098569947966,2.74478501954639e-5,1.2406358313801769e-6
8,5.0,5.0,55.0,1.0,1.0,7,-0.00907098383613646,5.481486145005428e-5,4.972519789918362e-7
9,5.0,5.0,55.0,1.0,1.0,7,0.1358257910858859,1.0493694183099525e-5,1.4252993571772787e-6
10,5.0,5.0,55.0,1.0,1.0,7,-0.004627180138446319,0.00012858761579590176,5.95074581082565e-7
1,5.0,6.0,65.0,1.0,1.0,7,0.001442047912472284,1.1020294686753863e-6,1.5891775434657973e-9
2,5.0,6.0,65.0,1.0,1.0,7,0.005579773599059164,3.5349216681931305e-7,1.9724055626627046e-9
3,5.0,6.0,65.0,1.0,1.0,7,193.95666162909123,1.3729287654384797e-11,2.6628867999534123e-9
4,5.0,6.0,65.0,1.0,1.0,7,-0.007611216228556774,1.429515302975768e-7,1.0880351628342333e-9
5,5.0,6.0,65.0,1.0,1.0,7,0.3472454604534777,1.074512552025475e-8,3.731196018819105e-9
