H,γu,γd,i,energy_exact
0.5,1.0,1.0,7,1.121282208065391
0.5,1.0,-1.0,7,-0.5280588074034096
0.5,-1.0,-1.0,7,-0.8385168324889476
0.1,0.3,0.3,7,1.432552337560814
0.1,0.5,0.5,7,2.5504638433492466
0.1,0.6,0.6,7,3.1872563426463842
0.1,0.6,-0.6,7,-1.517956500252491
0.1,-0.6,-0.6,7,-2.591024579394703
0.1,0.95,0.95,7,6.810003515280956
0.1,0.95,-0.95,7,-2.499054643650449
0.1,-0.95,-0.95,7,-3.9980617409133727
0.1,1.0,1.0,7,8.167911032162026
0.1,1.0,-1.0,7,-2.6402880733750616
0.1,-1.0,-1.0,7,-4.199284227718814
10.0,0.0,0.0,7,0.006274991369203092
5.0,0.0,0.0,7,-0.012743843427347773
1.0,0.0,0.0,7,-0.02603052903258557
0.5,0.0,0.0,7,-0.026703727870741684
0.1,0.0,0.0,7,-0.02692602243721945
10.0,0.3,0.3,8,-0.0058667193390453815
10.0,0.5,0.5,8,-0.005527896763735274
10.0,0.6,0.6,8,-0.005358502898300088
10.0,0.6,-0.6,8,-0.0062350475273199035
10.0,-0.6,-0.6,8,-0.007392001503285603
10.0,0.95,0.95,8,-0.004765715350038974
10.0,0.95,-0.95,8,-0.006153189818392232
10.0,-0.95,-0.95,8,-0.00798542637159011
10.0,1.0,1.0,8,-0.004681042920258921
10.0,1.0,-1.0,8,-0.006141484142486275
10.0,-1.0,-1.0,8,-0.008070213343034732
5.0,0.3,0.3,8,-0.01662396933571121
5.0,0.5,0.5,8,-0.014471616324997785
5.0,0.6,0.6,8,-0.013393932262909788
5.0,0.6,-0.6,8,-0.01930592673999848
5.0,-0.6,-0.6,8,-0.026273768957552443
5.0,0.95,0.95,8,-0.009612906786647085
5.0,0.95,-0.95,8,-0.01900245773940487
5.0,-0.95,-0.95,8,-0.030018063605306483
5.0,1.0,1.0,8,-0.009071481088115452
5.0,1.0,-1.0,8,-0.01895981418952214
5.0,-1.0,-1.0,8,-0.030552881904026608
1.0,0.3,0.3,8,0.022209808392947422
1.0,0.5,0.5,8,0.060641634275979656
1.0,0.6,0.6,8,0.08175421420473097
1.0,0.6,-0.6,8,-0.03512991800440657
1.0,-0.6,-0.6,8,-0.11410037898713137
1.0,0.95,0.95,8,0.17068924197735677
1.0,0.95,-0.95,8,-0.04706505515620049
1.0,-0.95,-0.95,8,-0.1586161606079149
1.0,1.0,1.0,8,0.18612998413778636
1.0,1.0,-1.0,8,-0.04908646087831159
1.0,-1.0,-1.0,8,-0.16481331755018608
0.5,0.3,0.3,8,0.09301487987913745
0.5,0.5,0.5,8,0.1916617656536625
0.5,0.6,0.6,8,0.24899349820691388
0.5,0.6,-0.6,8,-0.054499848826465414
0.5,-0.6,-0.6,8,-0.22172306530406252
0.5,0.95,0.95,8,0.5322920125986252
0.5,0.95,-0.95,8,-0.09098878527391985
0.5,-0.95,-0.95,8,-0.31814523468157274
0.5,1.0,1.0,8,0.5928813414135344
0.5,1.0,-1.0,8,-0.09678096173662125
0.5,-1.0,-1.0,8,-0.3314956860576776
0.1,0.3,0.3,8,0.6752717158745245
0.1,0.5,0.5,8,1.2867257897841076
0.1,0.6,0.6,8,1.6684183469093958
0.1,0.6,-0.6,8,-0.2166491680280172
0.1,-0.6,-0.6,8,-1.0805835891627016
0.1,0.95,0.95,8,4.351673635737015
0.1,0.95,-0.95,8,-0.4487331638182507
0.1,-0.95,-0.95,8,-1.590163322560964
0.1,1.0,1.0,8,5.5259066951855065
0.1,1.0,-1.0,8,-0.48385244704283065
0.1,-1.0,-1.0,8,-1.6604915104725388
10.0,0.0,0.0,8,-0.006375040740429869
5.0,0.0,0.0,8,-0.019846022188403686
1.0,0.0,0.0,8,-0.028430813880799002
