H,s,Lz,γu,γd,M,energy,error_r
1.0,4.0,62.0,1.0,1.0,17,45.800899370218154,3.5561006977833683e-6
1.0,4.0,62.0,1.0,1.0,18,45.80097481268112,1.9089235523315142e-6
1.0,4.0,62.0,1.0,1.0,19,45.801015873694965,1.0124156585251105e-6
1.0,4.0,62.0,1.0,1.0,20,45.80103731640631,5.442450464669234e-7
1.0,4.0,62.0,1.0,1.0,21,45.80104899005664,2.893677627841079e-7
1.0,4.0,62.0,1.0,1.0,22,45.80105508831951,1.5622100664684614e-7
1.0,4.0,62.0,1.0,1.0,23,45.80105840818732,8.373649094548636e-8
1.0,4.0,62.0,1.0,1.0,24,45.801060142022784,4.5880699484416084e-8
1.0,4.0,62.0,1.0,1.0,25,45.80106108645981,2.5260281963462082e-8
1.0,4.0,62.0,1.0,1.0,26,45.80106158115712,1.4459281147320436e-8
1.0,4.0,62.0,1.0,1.0,27,45.801061850003926,8.589399725235492e-9
1.0,4.0,62.0,1.0,1.0,28,45.801061993288826,5.460981008054183e-9
1.0,4.0,62.0,1.0,1.0,29,45.801062075284165,3.6707312954345025e-9
1.0,4.0,62.0,1.0,1.0,30,45.8010621268291,2.5453220869439085e-9
1.0,4.0,62.0,1.0,1.0,31,45.80106217000344,1.6026727976911744e-9
1.0,4.0,62.0,1.0,1.0,32,45.80106222155254,4.771726790725699e-10
1.0,4.0,62.0,1.0,1.0,33,45.80106230354765,1.3130720691715195e-9
1.0,4.0,62.0,1.0,1.0,34,45.80106244683261,4.441492027446727e-9
1.0,4.0,62.0,1.0,1.0,35,45.80106271568412,1.031147615005171e-8
1.0,4.0,62.0,1.0,1.0,36,45.801063210376626,2.1112372093758997e-8
1.0,4.0,62.0,1.0,1.0,37,45.80106415481779,4.173287990429406e-8
1.0,4.0,62.0,1.0,1.0,38,45.80106588865008,7.958860217437953e-8
1.0,4.0,62.0,1.0,1.0,39,45.80106920851789,1.5207311772060258e-7
1.0,4.0,62.0,1.0,1.0,40,45.80107530678063,2.852198712205398e-7
1.0,4.0,62.0,1.0,1.0,41,45.80108698043597,5.400972641196183e-7
1.0,4.0,62.0,1.0,1.0,42,45.80110842314724,1.0082678746264381e-6
1.0,4.0,62.0,1.0,1.0,43,45.80114948415689,1.9047756767470301e-6
1.0,4.0,62.0,1.0,1.0,44,45.801224926620115,3.5519528279389438e-6
1.0,4.0,62.0,1.0,1.0,45,45.80136946414149,6.707720713929524e-6
1.0,4.0,62.0,1.0,1.0,46,45.80163514343115,1.250844403011925e-5
1.0,4.0,62.0,1.0,1.0,47,45.80214455058535,2.3630613020380794e-5
1.0,4.0,62.0,1.0,1.0,48,45.803081590727714,4.4089530269528886e-5
1.0,4.0,62.0,1.0,1.0,49,45.80488071307541,8.337076654603599e-5
1.0,4.0,62.0,1.0,1.0,50,45.80819421836983,0.00015571636579884783
1.0,5.0,91.0,1.0,1.0,0,-0.8410824704916735,1.018363820166916
1.0,5.0,91.0,1.0,1.0,1,41.04457419668243,0.10385104217555033
1.0,5.0,91.0,1.0,1.0,2,43.404271759783306,0.052330456243277125
1.0,5.0,91.0,1.0,1.0,3,44.60513992591234,0.02611123539317811
1.0,5.0,91.0,1.0,1.0,4,45.17385282142355,0.013694211253239743
1.0,5.0,91.0,1.0,1.0,5,45.47631389820871,0.00709041077416478
1.0,5.0,91.0,1.0,1.0,6,45.628950346557595,0.003757814522625741
1.0,5.0,91.0,1.0,1.0,7,45.710938815153945,0.0019677148048369633
1.0,5.0,91.0,1.0,1.0,8,45.75304542600201,0.0010483778116403357
